Sentence,Word_Count,Tag_Count,Word_Tag_Pairs
Her zamanki gibi yine çok şıktı.,6,5,Her:BELİRLEYİCİ-DET|zamanki:SIFAT-ADJECTIVE|gibi:İLGEÇ-PREPOS|yine:BELİRTEÇ-ADVERB|çok:BELİRTEÇ-ADVERB|şıktı.:FİİL-VERB
Her şey değişti.,3,3,Her:BELİRLEYİCİ-DET|şey:AD-NOUN|değişti:FİİL-VERB
Her şey planlandığı gibi ilerliyor.,5,5,Her:BELİRLEYİCİ-DET|şey:AD-NOUN|planlandığı:SIFAT-ADJECTIVE|gibi:İLGEÇ-PREPOS|ilerliyor.:FİİL-VERB
Herkes dersi anladı.,3,3,Herkes:ADIL-PRONOUN|dersi:AD-NOUN|anladı.:FİİL-VERB
Herkes fikri beğendi.,3,3,Herkes:ADIL-PRONOUN|fikri:AD-NOUN|beğendi.:FİİL-VERB
Herkes fotoğrafı beğendi.,3,3,Herkes:ADIL-PRONOUN|fotoğrafı:AD-NOUN|beğendi.:FİİL-VERB
Herkes mahkeme önünde haklarını korumak için gerekli gördüğü yasalı araçları kullanmakta serbesttir.,13,6,Herkes:ADIL-PRONOUN|mahkeme:AD-NOUN|önünde:AD-NOUN|haklarını:AD-NOUN|korumak:FİİL-VERB|için:İLGEÇ-PREPOS|gerekli:SIFAT-ADJECTIVE|gördüğü:SIFAT-ADJECTIVE|yasalı:SIFAT-ADJECTIVE|araçları:AD-NOUN|kullanmakta:FİİL-VERB|serbesttir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Herkes onun geleceğini sandı.,4,2,Herkes:ADIL-PRONOUN|onun:ADIL-PRONOUN|geleceğini:FİİL-VERB|sandı.:FİİL-VERB
Herkes uyandı.,2,2,Herkes:ADIL-PRONOUN|uyandı:FİİL-VERB
Herkes şaşkınlıkla izledi.,3,3,Herkes:ADIL-PRONOUN|şaşkınlıkla:BELİRTEÇ-ADVERB|izledi:FİİL-VERB
Herkes şaşırdı.,2,2,Herkes:ADIL-PRONOUN|şaşırdı:FİİL-VERB
"Herkes, dil, ırk, cinsiyet, siyasî düşünce, felsefî inanç, din ve mezhep ayırımı gözetilmeksizin, kanun önünde eşittir.",24,7,"Herkes:ADIL-PRONOUN|,:NOKTALAMA-PUNCTUATION|dil:AD-NOUN|,:NOKTALAMA-PUNCTUATION|ırk:AD-NOUN|,:NOKTALAMA-PUNCTUATION|cinsiyet:AD-NOUN|,:NOKTALAMA-PUNCTUATION|siyasî:SIFAT-ADJECTIVE|düşünce:AD-NOUN|,:NOKTALAMA-PUNCTUATION|felsefî:SIFAT-ADJECTIVE|inanç:AD-NOUN|,:NOKTALAMA-PUNCTUATION|din:AD-NOUN|ve:BAĞLAÇ-CONJ|mezhep:AD-NOUN|ayırımı:AD-NOUN|gözetilmeksizin:BELİRTEÇ-ADVERB|,:NOKTALAMA-PUNCTUATION|kanun:AD-NOUN|önünde:AD-NOUN|eşittir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
"Herkes, dilediği yerde yerleşme hürriyetine sahiptir ; bu hürriyet, ancak millî güvenliği sağlama, salgın hastalıkları önleme, kamu mallarını koruma, sosyal, iktisâdî ve tarımsal gelişmeyi gerçekleştirme zorunluğuyla ve kanunla sınırlanabilir.",36,7,"Herkes:ADIL-PRONOUN|,:NOKTALAMA-PUNCTUATION|dilediği:SIFAT-ADJECTIVE|yerde:AD-NOUN|yerleşme:SIFAT-ADJECTIVE|hürriyetine:AD-NOUN|sahiptir:FİİL-VERB|;:NOKTALAMA-PUNCTUATION|bu:BELİRLEYİCİ-DET|hürriyet:AD-NOUN|,:NOKTALAMA-PUNCTUATION|ancak:BAĞLAÇ-CONJ|millî:SIFAT-ADJECTIVE|güvenliği:AD-NOUN|sağlama:AD-NOUN|,:NOKTALAMA-PUNCTUATION|salgın:SIFAT-ADJECTIVE|hastalıkları:AD-NOUN|önleme:AD-NOUN|,:NOKTALAMA-PUNCTUATION|kamu:SIFAT-ADJECTIVE|mallarını:AD-NOUN|koruma:AD-NOUN|,:NOKTALAMA-PUNCTUATION|sosyal:SIFAT-ADJECTIVE|,:NOKTALAMA-PUNCTUATION|iktisâdî:SIFAT-ADJECTIVE|ve:BAĞLAÇ-CONJ|tarımsal:SIFAT-ADJECTIVE|gelişmeyi:AD-NOUN|gerçekleştirme:AD-NOUN|zorunluğuyla:AD-NOUN|ve:BAĞLAÇ-CONJ|kanunla:AD-NOUN|sınırlanabilir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
"Herkes, haberleşme hürriyetine sahiptir.",6,5,"Herkes:ADIL-PRONOUN|,:NOKTALAMA-PUNCTUATION|haberleşme:SIFAT-ADJECTIVE|hürriyetine:AD-NOUN|sahiptir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
"Herkes, kişiliğine bağlı, dokunulmaz, devredilmez, vazgeçilmez temel hak ve hürriyetlere sahiptir.",16,6,"Herkes:ADIL-PRONOUN|,:NOKTALAMA-PUNCTUATION|kişiliğine:AD-NOUN|bağlı:SIFAT-ADJECTIVE|,:NOKTALAMA-PUNCTUATION|dokunulmaz:SIFAT-ADJECTIVE|,:NOKTALAMA-PUNCTUATION|devredilmez:SIFAT-ADJECTIVE|,:NOKTALAMA-PUNCTUATION|vazgeçilmez:SIFAT-ADJECTIVE|temel:SIFAT-ADJECTIVE|hak:AD-NOUN|ve:BAĞLAÇ-CONJ|hürriyetlere:AD-NOUN|sahiptir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
"Herkes, seyahat hürriyetine sahiptir ; bu hürriyet, ancak millî güvenliği sağlama ve salgın hastalıkları önleme amaçlarıyla kanunla sınırlanabilir.",21,7,"Herkes:ADIL-PRONOUN|,:NOKTALAMA-PUNCTUATION|seyahat:SIFAT-ADJECTIVE|hürriyetine:AD-NOUN|sahiptir:FİİL-VERB|;:NOKTALAMA-PUNCTUATION|bu:BELİRLEYİCİ-DET|hürriyet:AD-NOUN|,:NOKTALAMA-PUNCTUATION|ancak:BAĞLAÇ-CONJ|millî:SIFAT-ADJECTIVE|güvenliği:AD-NOUN|sağlama:AD-NOUN|ve:BAĞLAÇ-CONJ|salgın:SIFAT-ADJECTIVE|hastalıkları:AD-NOUN|önleme:AD-NOUN|amaçlarıyla:AD-NOUN|kanunla:AD-NOUN|sınırlanabilir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
"Herkes, vicdan ve dinî inanç ve kanaat hürriyetine sahiptir.",11,6,"Herkes:ADIL-PRONOUN|,:NOKTALAMA-PUNCTUATION|vicdan:AD-NOUN|ve:BAĞLAÇ-CONJ|dinî:SIFAT-ADJECTIVE|inanç:AD-NOUN|ve:BAĞLAÇ-CONJ|kanaat:AD-NOUN|hürriyetine:AD-NOUN|sahiptir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
"Herkes, yaşama, maddî ve mânevî varlığını geliştirme haklarına ve kişi hürriyetine sahiptir.",15,6,"Herkes:ADIL-PRONOUN|,:NOKTALAMA-PUNCTUATION|yaşama:AD-NOUN|,:NOKTALAMA-PUNCTUATION|maddî:SIFAT-ADJECTIVE|ve:BAĞLAÇ-CONJ|mânevî:SIFAT-ADJECTIVE|varlığını:AD-NOUN|geliştirme:AD-NOUN|haklarına:AD-NOUN|ve:BAĞLAÇ-CONJ|kişi:SIFAT-ADJECTIVE|hürriyetine:AD-NOUN|sahiptir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
Hesaplarında yanıldı.,2,2,Hesaplarında:AD-NOUN|yanıldı:FİİL-VERB
Heyecandan ötürü elleri titriyordu.,4,3,Heyecandan:AD-NOUN|ötürü:İLGEÇ-PREPOS|elleri:AD-NOUN|titriyordu.:FİİL-VERB
Heyet yarın gidecek.,3,3,Heyet:AD-NOUN|yarın:BELİRTEÇ-ADVERB|gidecek:FİİL-VERB
Heyetler görüştü.,2,2,Heyetler:AD-NOUN|görüştü:FİİL-VERB
Heykeltıraş bu heykeli mermerden ustaca yonttu.,6,4,Heykeltıraş:AD-NOUN|bu:BELİRLEYİCİ-DET|heykeli:AD-NOUN|mermerden:AD-NOUN|ustaca:BELİRTEÇ-ADVERB|yonttu.:FİİL-VERB
Hisse senedi düştü.,3,2,Hisse:AD-NOUN|senedi:AD-NOUN|düştü:FİİL-VERB
Hizmetli evi temizledi.,3,2,Hizmetli:AD-NOUN|evi:AD-NOUN|temizledi.:FİİL-VERB
Hiçbir kanun Anayasaya aykırı olamaz.,6,5,Hiçbir:BELİRLEYİCİ-DET|kanun:AD-NOUN|Anayasaya:AD-NOUN|aykırı:SIFAT-ADJECTIVE|olamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
"Hiçbir kimse felsefi inanından, din ve mezhebinden dolayı kınanamaz.",11,8,"Hiçbir:BELİRLEYİCİ-DET|kimse:ADIL-PRONOUN|felsefi:SIFAT-ADJECTIVE|inanından:AD-NOUN|,:NOKTALAMA-PUNCTUATION|din:AD-NOUN|ve:BAĞLAÇ-CONJ|mezhebinden:AD-NOUN|dolayı:İLGEÇ-PREPOS|kınanamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
"Hiçbir kişiye, aileye, zümreye veya sınıfa imtiyaz tanınamaz.",11,5,"Hiçbir:BELİRLEYİCİ-DET|kişiye:AD-NOUN|,:NOKTALAMA-PUNCTUATION|aileye:AD-NOUN|,:NOKTALAMA-PUNCTUATION|zümreye:AD-NOUN|veya:BAĞLAÇ-CONJ|sınıfa:AD-NOUN|imtiyaz:AD-NOUN|tanınamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
Hiçbir mahkeme görev ve yetkisi içindeki davalara bakmazlık edemez.,10,6,Hiçbir:BELİRLEYİCİ-DET|mahkeme:AD-NOUN|görev:AD-NOUN|ve:BAĞLAÇ-CONJ|yetkisi:AD-NOUN|içindeki:SIFAT-ADJECTIVE|davalara:AD-NOUN|bakmazlık:AD-NOUN|edemez:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Hâkim mahkemeyi erteledi.,3,2,Hâkim:AD-NOUN|mahkemeyi:AD-NOUN|erteledi.:FİİL-VERB
Hâkim tanıklara yemin ettirdi.,4,2,Hâkim:AD-NOUN|tanıklara:AD-NOUN|yemin:AD-NOUN|ettirdi:FİİL-VERB
Hükûmetin gözetimi ve denetlemesi altında ve kanun çerçevesinde her türlü öğretim serbesttir.,13,7,Hükûmetin:AD-NOUN|gözetimi:AD-NOUN|ve:BAĞLAÇ-CONJ|denetlemesi:AD-NOUN|altında:İLGEÇ-PREPOS|ve:BAĞLAÇ-CONJ|kanun:AD-NOUN|çerçevesinde:İLGEÇ-PREPOS|her:BELİRLEYİCİ-DET|türlü:SIFAT-ADJECTIVE|öğretim:AD-NOUN|serbesttir:FİİL-VERB|NOKTA:NOKTALAMA-PUNCTUATION
Hükümet yeni kanunları halka açıkça duyurdu.,6,4,Hükümet:AD-NOUN|yeni:SIFAT-ADJECTIVE|kanunları:AD-NOUN|halka:AD-NOUN|açıkça:BELİRTEÇ-ADVERB|duyurdu.:FİİL-VERB
"Hürriyet, başkasına zarar vermiyecek her şeyi yapabilmektir.",9,6,"Hürriyet:AD-NOUN|,:NOKTALAMA-PUNCTUATION|başkasına:ADIL-PRONOUN|zarar:AD-NOUN|vermiyecek:SIFAT-ADJECTIVE|her:BELİRLEYİCİ-DET|şeyi:AD-NOUN|yapabilmektir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
Hırsız gizlice girdi.,3,3,Hırsız:AD-NOUN|gizlice:BELİRTEÇ-ADVERB|girdi:FİİL-VERB
Hırsız kaçtı.,2,2,Hırsız:AD-NOUN|kaçtı:FİİL-VERB
Hızla yanımdan geçip gitti.,4,3,Hızla:BELİRTEÇ-ADVERB|yanımdan:AD-NOUN|geçip:FİİL-VERB|gitti.:FİİL-VERB
Jüri haksızca davrandı.,3,3,Jüri:AD-NOUN|haksızca:BELİRTEÇ-ADVERB|davrandı:FİİL-VERB
Kaderini teslimiyetle kabul etti.,4,3,Kaderini:AD-NOUN|teslimiyetle:BELİRTEÇ-ADVERB|kabul:AD-NOUN|etti:FİİL-VERB
Kadın halıyı dokudu.,3,2,Kadın:AD-NOUN|halıyı:AD-NOUN|dokudu.:FİİL-VERB
"Kadın, erkek bütün Türkler ilk öğretimden geçmek ödevindedirler.",10,5,Kadın:AD-NOUN|VİRGÜL:NOKTALAMA-PUNCTUATION|erkek:AD-NOUN|bütün:BELİRLEYİCİ-DET|Türkler:AD-NOUN|ilk:SIFAT-ADJECTIVE|öğretimden:AD-NOUN|geçmek:FİİL-VERB|ödevindedirler:FİİL-VERB|NOKTA:NOKTALAMA-PUNCTUATION
Kafile nehri geçti.,3,2,Kafile:AD-NOUN|nehri:AD-NOUN|geçti.:FİİL-VERB
Kalabalık coştu.,2,2,Kalabalık:AD-NOUN|coştu:FİİL-VERB
Kalabalık sustu.,2,2,Kalabalık:AD-NOUN|sustu:FİİL-VERB
Kalbi yumuşadı.,2,2,Kalbi:AD-NOUN|yumuşadı:FİİL-VERB
Kampçılar çadır kurdu.,3,2,Kampçılar:AD-NOUN|çadır:AD-NOUN|kurdu.:FİİL-VERB
"Kamu düzenine veya genel ahlâka veya bu amaçlarla çıkarılan kanunlara aykırı olmıyan ibadetler, dinî âyîn ve törenler serbesttir.",20,6,"Kamu:SIFAT-ADJECTIVE|düzenine:AD-NOUN|veya:BAĞLAÇ-CONJ|genel:SIFAT-ADJECTIVE|ahlâka:AD-NOUN|veya:BAĞLAÇ-CONJ|bu:BELİRLEYİCİ-DET|amaçlarla:AD-NOUN|çıkarılan:SIFAT-ADJECTIVE|kanunlara:AD-NOUN|aykırı:SIFAT-ADJECTIVE|olmıyan:SIFAT-ADJECTIVE|ibadetler:AD-NOUN|,:NOKTALAMA-PUNCTUATION|dinî:SIFAT-ADJECTIVE|âyîn:AD-NOUN|ve:BAĞLAÇ-CONJ|törenler:AD-NOUN|serbesttir:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
Kamu faydasına gerekli olduğu usulüne göre anlaşılmadıkça ve özel kanunları gereğince değer pahası peşin verilmedikçe hiç kimsenin malı ve mülkü kamulaştırılamaz.,22,9,Kamu:AD-NOUN|faydasına:AD-NOUN|gerekli:SIFAT-ADJECTIVE|olduğu:FİİL-VERB|usulüne:AD-NOUN|göre:İLGEÇ-PREPOS|anlaşılmadıkça:FİİL-VERB|ve:BAĞLAÇ-CONJ|özel:SIFAT-ADJECTIVE|kanunları:AD-NOUN|gereğince:İLGEÇ-PREPOS|değer:AD-NOUN|pahası:AD-NOUN|peşin:BELİRTEÇ-ADVERB|verilmedikçe:FİİL-VERB|hiç:BELİRLEYİCİ-DET|kimsenin:ADIL-PRONOUN|malı:AD-NOUN|ve:BAĞLAÇ-CONJ|mülkü:AD-NOUN|kamulaştırılamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Kamyon devrildi.,2,2,Kamyon:AD-NOUN|devrildi:FİİL-VERB
Kanepede uzandı.,2,2,Kanepede:AD-NOUN|uzandı:FİİL-VERB
Kanun herkese aynı muameleyi yaptı.,5,4,Kanun:AD-NOUN|herkese:ADIL-PRONOUN|aynı:SIFAT-ADJECTIVE|muameleyi:AD-NOUN|yaptı:FİİL-VERB
"Kanun teklif etmek hakkı, Meclis üyelerinin ve Bakanlar Kurulunundur.",33,4,"Kanun:AD-NOUN|teklif:AD-NOUN|etmek:FİİL-VERB|hakkı:AD-NOUN|,:NOKTALAMA-PUNCTUATION|Meclis:AD-NOUN|üyelerinin:AD-NOUN|ve:BAĞLAÇ-CONJ|Bakanlar:AD-NOUN|Kurulunundur:AD-NOUN|.:NOKTALAMA-PUNCTUATION|Kanun:AD-NOUN|teklif:AD-NOUN|etmek:FİİL-VERB|hakkı:AD-NOUN|,:NOKTALAMA-PUNCTUATION|Meclis:AD-NOUN|üyelerinin:AD-NOUN|ve:BAĞLAÇ-CONJ|Bakanlar:AD-NOUN|Kurulunundur:AD-NOUN|.:NOKTALAMA-PUNCTUATION|Kanun:AD-NOUN|teklif:AD-NOUN|etmek:FİİL-VERB|hakkı:AD-NOUN|,:NOKTALAMA-PUNCTUATION|Meclis:AD-NOUN|üyelerinin:AD-NOUN|ve:BAĞLAÇ-CONJ|Bakanlar:AD-NOUN|Kurulunundur:AD-NOUN|.:NOKTALAMA-PUNCTUATION"
"Kanun, temel hak ve hürriyetlerin özüne dokunamaz.",9,5,"Kanun:AD-NOUN|,:NOKTALAMA-PUNCTUATION|temel:SIFAT-ADJECTIVE|hak:AD-NOUN|ve:BAĞLAÇ-CONJ|hürriyetlerin:AD-NOUN|özüne:AD-NOUN|dokunamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
Kanuna aykırı işlerde üstün emrine uymuş olmak memuru sorumdan kurtarmaz.,11,4,Kanuna:AD-NOUN|aykırı:SIFAT-ADJECTIVE|işlerde:AD-NOUN|üstün:AD-NOUN|emrine:AD-NOUN|uymuş:FİİL-VERB|olmak:FİİL-VERB|memuru:AD-NOUN|sorumdan:AD-NOUN|kurtarmaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Kanunda yazılı hal ve şekillerden başka türlü hiçbir kimse yakalanamaz ve tutulmaz.,13,7,Kanunda:AD-NOUN|yazılı:SIFAT-ADJECTIVE|hal:AD-NOUN|ve:BAĞLAÇ-CONJ|şekillerden:AD-NOUN|başka:SIFAT-ADJECTIVE|türlü:SIFAT-ADJECTIVE|hiçbir:BELİRLEYİCİ-DET|kimse:ADIL-PRONOUN|yakalanamaz:FİİL-VERB|ve:BAĞLAÇ-CONJ|tutulmaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Kanunda yazılı usul ve haller dışında kimsenin konutuna girilemez ve üstü aranamaz.,13,7,Kanunda:AD-NOUN|yazılı:SIFAT-ADJECTIVE|usul:AD-NOUN|ve:BAĞLAÇ-CONJ|haller:AD-NOUN|dışında:İLGEÇ-PREPOS|kimsenin:ADIL-PRONOUN|konutuna:AD-NOUN|girilemez:FİİL-VERB|ve:BAĞLAÇ-CONJ|üstü:AD-NOUN|aranamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Kanunlar Anayasaya aykırı olamaz.,5,4,Kanunlar:AD-NOUN|Anayasaya:AD-NOUN|aykırı:SIFAT-ADJECTIVE|olamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
"Kanunun açıkça gösterdiği hallerde, usûlüne göre verilmiş hâkim kararı olmadıkça ; millî güvenlik veya kamu düzeni bakımından gecikmede sakınca bulunan hallerde de kanunla yetkili kılınan merciin emri bulunmadıkça kimsenin üstü, özel kâğıtları ve eşyası aranamaz ve bunlara el konulamaz.",42,8,"Kanunun:AD-NOUN|açıkça:BELİRTEÇ-ADVERB|gösterdiği:SIFAT-ADJECTIVE|hallerde:AD-NOUN|,:NOKTALAMA-PUNCTUATION|usûlüne:AD-NOUN|göre:İLGEÇ-PREPOS|verilmiş:SIFAT-ADJECTIVE|hâkim:SIFAT-ADJECTIVE|kararı:AD-NOUN|olmadıkça:FİİL-VERB|;:NOKTALAMA-PUNCTUATION|millî:SIFAT-ADJECTIVE|güvenlik:AD-NOUN|veya:BAĞLAÇ-CONJ|kamu:SIFAT-ADJECTIVE|düzeni:AD-NOUN|bakımından:İLGEÇ-PREPOS|gecikmede:AD-NOUN|sakınca:AD-NOUN|bulunan:SIFAT-ADJECTIVE|hallerde:AD-NOUN|de:BAĞLAÇ-CONJ|kanunla:AD-NOUN|yetkili:SIFAT-ADJECTIVE|kılınan:SIFAT-ADJECTIVE|merciin:AD-NOUN|emri:AD-NOUN|bulunmadıkça:FİİL-VERB|kimsenin:ADIL-PRONOUN|üstü:AD-NOUN|,:NOKTALAMA-PUNCTUATION|özel:SIFAT-ADJECTIVE|kâğıtları:AD-NOUN|ve:BAĞLAÇ-CONJ|eşyası:AD-NOUN|aranamaz:FİİL-VERB|ve:BAĞLAÇ-CONJ|bunlara:ADIL-PRONOUN|el:AD-NOUN|konulamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
"Kanunun açıkça gösterdiği hallerde, usûlüne göre verilmiş hâkim kararı olmadıkça ; millî güvenlik veya kamu düzeni bakımından gecikmede sakınca bulunan hallerde de, kanunla yetkili kılınan merciin emri bulunmadıkça, konuta girilemez, arama yapılamaz ve buradaki eşyaya el konulamaz.",42,7,"Kanunun:AD-NOUN|açıkça:BELİRTEÇ-ADVERB|gösterdiği:SIFAT-ADJECTIVE|hallerde:AD-NOUN|,:NOKTALAMA-PUNCTUATION|usûlüne:AD-NOUN|göre:İLGEÇ-PREPOS|verilmiş:SIFAT-ADJECTIVE|hâkim:SIFAT-ADJECTIVE|kararı:AD-NOUN|olmadıkça:FİİL-VERB|;:NOKTALAMA-PUNCTUATION|millî:SIFAT-ADJECTIVE|güvenlik:AD-NOUN|veya:BAĞLAÇ-CONJ|kamu:SIFAT-ADJECTIVE|düzeni:AD-NOUN|bakımından:İLGEÇ-PREPOS|gecikmede:AD-NOUN|sakınca:AD-NOUN|bulunan:SIFAT-ADJECTIVE|hallerde:AD-NOUN|de:BAĞLAÇ-CONJ|,:NOKTALAMA-PUNCTUATION|kanunla:AD-NOUN|yetkili:SIFAT-ADJECTIVE|kılınan:SIFAT-ADJECTIVE|merciin:AD-NOUN|emri:AD-NOUN|bulunmadıkça:FİİL-VERB|,:NOKTALAMA-PUNCTUATION|konuta:AD-NOUN|girilemez:FİİL-VERB|,:NOKTALAMA-PUNCTUATION|arama:AD-NOUN|yapılamaz:FİİL-VERB|ve:BAĞLAÇ-CONJ|buradaki:SIFAT-ADJECTIVE|eşyaya:AD-NOUN|el:AD-NOUN|konulamaz:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
Kapalı oturumlardaki görüşmeleri yaymak Meclisin kararına bağlıdır.,16,4,Kapalı:SIFAT-ADJECTIVE|oturumlardaki:SIFAT-ADJECTIVE|görüşmeleri:AD-NOUN|yaymak:FİİL-VERB|Meclisin:AD-NOUN|kararına:AD-NOUN|bağlıdır:FİİL-VERB|.:NOKTALAMA-PUNCTUATION|Kapalı:SIFAT-ADJECTIVE|oturumlardaki:SIFAT-ADJECTIVE|görüşmeleri:AD-NOUN|yaymak:FİİL-VERB|Meclisin:AD-NOUN|kararına:AD-NOUN|bağlıdır:FİİL-VERB|.:NOKTALAMA-PUNCTUATION
Kaptan takımına zaferi getirdi.,4,2,Kaptan:AD-NOUN|takımına:AD-NOUN|zaferi:AD-NOUN|getirdi:FİİL-VERB
Kapı tıkırdadı.,2,2,Kapı:AD-NOUN|tıkırdadı:FİİL-VERB
Kapıyı altı kez çaldılar.,5,5,Kapıyı:İSİM-NOUN|altı:SAYI-NUM|kez:ZARF-ADV|çaldılar:FİİL-VERB|.:NOKTALAMA-PUNC
Kapıyı defalarca çaldım.,4,4,Kapıyı:İSİM-NOUN|defalarca:ZARF-ADV|çaldım:FİİL-VERB|.:NOKTALAMA-PUNC
Karanlıktan korktu.,2,2,Karanlıktan:AD-NOUN|korktu:FİİL-VERB
Kardeşim dün gece filmi izledi.,5,3,Kardeşim:AD-NOUN|dün:BELİRTEÇ-ADVERB|gece:AD-NOUN|filmi:AD-NOUN|izledi.:FİİL-VERB
Kardeşim erken kalkmayı sevmez.,4,3,Kardeşim:AD-NOUN|erken:BELİRTEÇ-ADVERB|kalkmayı:FİİL-VERB|sevmez.:FİİL-VERB
Kardeşim saklandı.,2,2,Kardeşim:AD-NOUN|saklandı:FİİL-VERB
Kardeşine göre daha dışa dönük bir insandı.,7,5,Kardeşine:AD-NOUN|göre:İLGEÇ-PREPOS|daha:BELİRTEÇ-ADVERB|dışa:AD-NOUN|dönük:SIFAT-ADJECTIVE|bir:BELİRLEYİCİ-DET|insandı.:AD-NOUN
Kardeşine küstü.,2,2,Kardeşine:AD-NOUN|küstü:FİİL-VERB
Kardeşini kıskandı.,2,2,Kardeşini:AD-NOUN|kıskandı:FİİL-VERB
Kardeşiyle telefonda uzun uzun konuştu.,5,3,Kardeşiyle:AD-NOUN|telefonda:AD-NOUN|uzun:BELİRTEÇ-ADVERB|uzun:BELİRTEÇ-ADVERB|konuştu.:FİİL-VERB
Kardeşler barıştı.,2,2,Kardeşler:AD-NOUN|barıştı:FİİL-VERB
Karınca gibi çalışkan bir insandı.,5,4,Karınca:AD-NOUN|gibi:İLGEÇ-PREPOS|çalışkan:SIFAT-ADJECTIVE|bir:BELİRLEYİCİ-DET|insandı.:AD-NOUN
Kasiyer müşteriye faturasını uzattı.,4,2,Kasiyer:AD-NOUN|müşteriye:AD-NOUN|faturasını:AD-NOUN|uzattı:FİİL-VERB
Kasiyer parayı saydı.,3,2,Kasiyer:AD-NOUN|parayı:AD-NOUN|saydı.:FİİL-VERB
Kası kasılmıştı.,2,2,Kası:AD-NOUN|kasılmıştı:FİİL-VERB
"Kasımdan önceki toplantı, olağanüstü toplantı sayılır.",16,4,"Kasımdan:AD-NOUN|önceki:SIFAT-ADJECTIVE|toplantı:AD-NOUN|,:NOKTALAMA-PUNCTUATION|olağanüstü:SIFAT-ADJECTIVE|toplantı:AD-NOUN|sayılır:FİİL-VERB|.:NOKTALAMA-PUNCTUATION|Kasımdan:AD-NOUN|önceki:SIFAT-ADJECTIVE|toplantı:AD-NOUN|,:NOKTALAMA-PUNCTUATION|olağanüstü:SIFAT-ADJECTIVE|toplantı:AD-NOUN|sayılır:FİİL-VERB|.:NOKTALAMA-PUNCTUATION"
Kavun hamdı.,2,2,Kavun:AD-NOUN|hamdı:FİİL-VERB
Kaya gibi sağlam durmalısın.,4,4,Kaya:AD-NOUN|gibi:İLGEÇ-PREPOS|sağlam:BELİRTEÇ-ADVERB|durmalısın.:FİİL-VERB
Kayıp çocuk ne yapacağını bilmiyordu.,5,4,Kayıp:SIFAT-ADJECTIVE|çocuk:AD-NOUN|ne:ADIL-PRONOUN|yapacağını:FİİL-VERB|bilmiyordu.:FİİL-VERB
Kazanan herkese tatlı ısmarladı.,4,3,Kazanan:AD-NOUN|herkese:ADIL-PRONOUN|tatlı:AD-NOUN|ısmarladı:FİİL-VERB
Kazanan herkese teşekkürlerini iletti.,4,3,Kazanan:AD-NOUN|herkese:ADIL-PRONOUN|teşekkürlerini:AD-NOUN|iletti:FİİL-VERB
Kazananlar tarihi yazdı.,3,2,Kazananlar:AD-NOUN|tarihi:AD-NOUN|yazdı.:FİİL-VERB
Kazandığını duyunca delice sevindi.,4,2,Kazandığını:FİİL-VERB|duyunca:BELİRTEÇ-ADVERB|delice:BELİRTEÇ-ADVERB|sevindi:FİİL-VERB
Kedi atladı.,2,2,Kedi:AD-NOUN|atladı:FİİL-VERB
Kedi gerindi.,2,2,Kedi:AD-NOUN|gerindi:FİİL-VERB
Kedi gibi sessizce odaya süzüldü.,5,4,Kedi:AD-NOUN|gibi:İLGEÇ-PREPOS|sessizce:BELİRTEÇ-ADVERB|odaya:AD-NOUN|süzüldü.:FİİL-VERB
Kedi irkildi.,2,2,Kedi:AD-NOUN|irkildi:FİİL-VERB
Kedi miyavladı.,2,2,Kedi:AD-NOUN|miyavladı:FİİL-VERB
Kedi sabırla bekledi.,3,3,Kedi:AD-NOUN|sabırla:BELİRTEÇ-ADVERB|bekledi:FİİL-VERB
Kedi yemeği yedi.,3,2,Kedi:AD-NOUN|yemeği:AD-NOUN|yedi.:FİİL-VERB
Kendi ayakları üzerinde durana kadar ailesi destek oldu.,8,4,Kendi:ADIL-PRONOUN|ayakları:AD-NOUN|üzerinde:AD-NOUN|durana:FİİL-VERB|kadar:İLGEÇ-PREPOS|ailesi:AD-NOUN|destek:AD-NOUN|oldu.:FİİL-VERB
