Full_Sentence,Word,Tag
Tiyatro oyunu seyirciye keyifli anlar yaşattı.,yaşattı,FİİL-VERB
Onun başarısı yeni nesle örnek teşkil etti.,Onun,ADIL-PRONOUN
Onun başarısı yeni nesle örnek teşkil etti.,başarısı,AD-NOUN
Onun başarısı yeni nesle örnek teşkil etti.,yeni,SIFAT-ADJECTIVE
Onun başarısı yeni nesle örnek teşkil etti.,nesle,AD-NOUN
Onun başarısı yeni nesle örnek teşkil etti.,örnek,AD-NOUN
Onun başarısı yeni nesle örnek teşkil etti.,teşkil,AD-NOUN
Onun başarısı yeni nesle örnek teşkil etti.,etti,FİİL-VERB
Anlaşma ülkeye barış getirdi.,Anlaşma,AD-NOUN
Anlaşma ülkeye barış getirdi.,ülkeye,AD-NOUN
Anlaşma ülkeye barış getirdi.,barış,AD-NOUN
Anlaşma ülkeye barış getirdi.,getirdi,FİİL-VERB
O bize iyi dileklerini iletti.,O,ADIL-PRONOUN
O bize iyi dileklerini iletti.,bize,ADIL-PRONOUN
O bize iyi dileklerini iletti.,iyi,SIFAT-ADJECTIVE
O bize iyi dileklerini iletti.,dileklerini,AD-NOUN
O bize iyi dileklerini iletti.,iletti,FİİL-VERB
Dede çocuklara harçlıklarını dağıttı.,Dede,AD-NOUN
Dede çocuklara harçlıklarını dağıttı.,çocuklara,AD-NOUN
Dede çocuklara harçlıklarını dağıttı.,harçlıklarını,AD-NOUN
Dede çocuklara harçlıklarını dağıttı.,dağıttı,FİİL-VERB
O arkadaşına borcunu iade etti.,O,ADIL-PRONOUN
O arkadaşına borcunu iade etti.,arkadaşına,AD-NOUN
O arkadaşına borcunu iade etti.,borcunu,AD-NOUN
O arkadaşına borcunu iade etti.,iade,AD-NOUN
O arkadaşına borcunu iade etti.,etti,FİİL-VERB
Bu görev bana sorumluluk yükledi.,Bu,BELİRLEYİCİ-DET
Bu görev bana sorumluluk yükledi.,görev,AD-NOUN
Bu görev bana sorumluluk yükledi.,bana,ADIL-PRONOUN
Bu görev bana sorumluluk yükledi.,sorumluluk,AD-NOUN
Bu görev bana sorumluluk yükledi.,yükledi,FİİL-VERB
Lider herkese umut dolu mesajlar yolladı.,Lider,AD-NOUN
Lider herkese umut dolu mesajlar yolladı.,herkese,ADIL-PRONOUN
Lider herkese umut dolu mesajlar yolladı.,umut,AD-NOUN
Lider herkese umut dolu mesajlar yolladı.,dolu,SIFAT-ADJECTIVE
Lider herkese umut dolu mesajlar yolladı.,mesajlar,AD-NOUN
Lider herkese umut dolu mesajlar yolladı.,yolladı,FİİL-VERB
Sistem öğrencilere ödevlerini hatırlattı.,Sistem,AD-NOUN
Sistem öğrencilere ödevlerini hatırlattı.,öğrencilere,AD-NOUN
Sistem öğrencilere ödevlerini hatırlattı.,ödevlerini,AD-NOUN
Sistem öğrencilere ödevlerini hatırlattı.,hatırlattı,FİİL-VERB
O ona kalbini açtı.,O,ADIL-PRONOUN
O ona kalbini açtı.,ona,ADIL-PRONOUN
O ona kalbini açtı.,kalbini,AD-NOUN
O ona kalbini açtı.,açtı,FİİL-VERB
Öğretmen çocuğa okuma sevgisi aşıladı.,Öğretmen,AD-NOUN
Öğretmen çocuğa okuma sevgisi aşıladı.,çocuğa,AD-NOUN
Öğretmen çocuğa okuma sevgisi aşıladı.,okuma,AD-NOUN
Öğretmen çocuğa okuma sevgisi aşıladı.,sevgisi,AD-NOUN
Öğretmen çocuğa okuma sevgisi aşıladı.,aşıladı,FİİL-VERB
Rakip ona gücünü gösterdi.,Rakip,AD-NOUN
Rakip ona gücünü gösterdi.,ona,ADIL-PRONOUN
Rakip ona gücünü gösterdi.,gücünü,AD-NOUN
Rakip ona gücünü gösterdi.,gösterdi,FİİL-VERB
O bize evinin kapılarını açtı.,O,ADIL-PRONOUN
O bize evinin kapılarını açtı.,bize,ADIL-PRONOUN
O bize evinin kapılarını açtı.,evinin,AD-NOUN
O bize evinin kapılarını açtı.,kapılarını,AD-NOUN
O bize evinin kapılarını açtı.,açtı,FİİL-VERB
O ona son sözünü söyledi.,O,ADIL-PRONOUN
O ona son sözünü söyledi.,ona,ADIL-PRONOUN
O ona son sözünü söyledi.,son,SIFAT-ADJECTIVE
O ona son sözünü söyledi.,sözünü,AD-NOUN
O ona son sözünü söyledi.,söyledi,FİİL-VERB
Kazanan herkese tatlı ısmarladı.,Kazanan,AD-NOUN
Kazanan herkese tatlı ısmarladı.,herkese,ADIL-PRONOUN
Kazanan herkese tatlı ısmarladı.,tatlı,AD-NOUN
Kazanan herkese tatlı ısmarladı.,ısmarladı,FİİL-VERB
Kasiyer müşteriye faturasını uzattı.,Kasiyer,AD-NOUN
Kasiyer müşteriye faturasını uzattı.,müşteriye,AD-NOUN
Kasiyer müşteriye faturasını uzattı.,faturasını,AD-NOUN
Kasiyer müşteriye faturasını uzattı.,uzattı,FİİL-VERB
Konuşması halka güven telkin etti.,Konuşması,AD-NOUN
Konuşması halka güven telkin etti.,halka,AD-NOUN
Konuşması halka güven telkin etti.,güven,AD-NOUN
Konuşması halka güven telkin etti.,telkin,AD-NOUN
Konuşması halka güven telkin etti.,etti,FİİL-VERB
Komutan düşmanına gözdağı verdi.,Komutan,AD-NOUN
Komutan düşmanına gözdağı verdi.,düşmanına,AD-NOUN
Komutan düşmanına gözdağı verdi.,gözdağı,AD-NOUN
Komutan düşmanına gözdağı verdi.,verdi,FİİL-VERB
Acemi doktor hastaya yanlış teşhis koydu.,Acemi,SIFAT-ADJECTIVE
Acemi doktor hastaya yanlış teşhis koydu.,doktor,AD-NOUN
Acemi doktor hastaya yanlış teşhis koydu.,hastaya,AD-NOUN
Acemi doktor hastaya yanlış teşhis koydu.,yanlış,SIFAT-ADJECTIVE
Acemi doktor hastaya yanlış teşhis koydu.,teşhis,AD-NOUN
Acemi doktor hastaya yanlış teşhis koydu.,koydu,FİİL-VERB
Bu haber ona hayatının şokunu yaşattı.,Bu,BELİRLEYİCİ-DET
Bu haber ona hayatının şokunu yaşattı.,haber,AD-NOUN
Bu haber ona hayatının şokunu yaşattı.,ona,ADIL-PRONOUN
Bu haber ona hayatının şokunu yaşattı.,hayatının,AD-NOUN
Bu haber ona hayatının şokunu yaşattı.,şokunu,AD-NOUN
Bu haber ona hayatının şokunu yaşattı.,yaşattı,FİİL-VERB
Yeni CEO şirkete taze kan getirdi.,Yeni,SIFAT-ADJECTIVE
Yeni CEO şirkete taze kan getirdi.,CEO,AD-NOUN
Yeni CEO şirkete taze kan getirdi.,şirkete,AD-NOUN
Yeni CEO şirkete taze kan getirdi.,taze,SIFAT-ADJECTIVE
Yeni CEO şirkete taze kan getirdi.,kan,AD-NOUN
Yeni CEO şirkete taze kan getirdi.,getirdi,FİİL-VERB
Annesi ona en sevdiği yemeği pişirdi.,Annesi,AD-NOUN
Annesi ona en sevdiği yemeği pişirdi.,ona,ADIL-PRONOUN
Annesi ona en sevdiği yemeği pişirdi.,en,BELİRTEÇ-ADVERB
Annesi ona en sevdiği yemeği pişirdi.,sevdiği,SIFAT-ADJECTIVE
Annesi ona en sevdiği yemeği pişirdi.,yemeği,AD-NOUN
Annesi ona en sevdiği yemeği pişirdi.,pişirdi,FİİL-VERB
Patron tüm çalışanlara zam müjdesi verdi.,Patron,AD-NOUN
Patron tüm çalışanlara zam müjdesi verdi.,tüm,BELİRLEYİCİ-DET
Patron tüm çalışanlara zam müjdesi verdi.,çalışanlara,AD-NOUN
Patron tüm çalışanlara zam müjdesi verdi.,zam,AD-NOUN
Patron tüm çalışanlara zam müjdesi verdi.,müjdesi,AD-NOUN
Patron tüm çalışanlara zam müjdesi verdi.,verdi,FİİL-VERB
Mirasçı herkese kendi payını dağıttı.,Mirasçı,AD-NOUN
Mirasçı herkese kendi payını dağıttı.,herkese,ADIL-PRONOUN
Mirasçı herkese kendi payını dağıttı.,kendi,ADIL-PRONOUN
Mirasçı herkese kendi payını dağıttı.,payını,AD-NOUN
Mirasçı herkese kendi payını dağıttı.,dağıttı,FİİL-VERB
Usta bize işin inceliklerini öğretti.,Usta,AD-NOUN
Usta bize işin inceliklerini öğretti.,bize,ADIL-PRONOUN
Usta bize işin inceliklerini öğretti.,işin,AD-NOUN
Usta bize işin inceliklerini öğretti.,inceliklerini,AD-NOUN
Usta bize işin inceliklerini öğretti.,öğretti,FİİL-VERB
O kardeşine doğum günü sürprizi hazırladı.,O,ADIL-PRONOUN
O kardeşine doğum günü sürprizi hazırladı.,kardeşine,AD-NOUN
O kardeşine doğum günü sürprizi hazırladı.,doğum,AD-NOUN
O kardeşine doğum günü sürprizi hazırladı.,günü,AD-NOUN
O kardeşine doğum günü sürprizi hazırladı.,sürprizi,AD-NOUN
O kardeşine doğum günü sürprizi hazırladı.,hazırladı,FİİL-VERB
Dedektif ona bütün gerçeği tek tek ispatladı.,Dedektif,AD-NOUN
Dedektif ona bütün gerçeği tek tek ispatladı.,ona,ADIL-PRONOUN
Dedektif ona bütün gerçeği tek tek ispatladı.,bütün,BELİRLEYİCİ-DET
Dedektif ona bütün gerçeği tek tek ispatladı.,gerçeği,AD-NOUN
Dedektif ona bütün gerçeği tek tek ispatladı.,tek,BELİRTEÇ-ADVERB
Dedektif ona bütün gerçeği tek tek ispatladı.,tek,BELİRTEÇ-ADVERB
Dedektif ona bütün gerçeği tek tek ispatladı.,ispatladı,FİİL-VERB
İş adamı devlete olan borcunu yapılandırdı.,İş,AD-NOUN
İş adamı devlete olan borcunu yapılandırdı.,adamı,AD-NOUN
İş adamı devlete olan borcunu yapılandırdı.,devlete,AD-NOUN
İş adamı devlete olan borcunu yapılandırdı.,olan,SIFAT-ADJECTIVE
İş adamı devlete olan borcunu yapılandırdı.,borcunu,AD-NOUN
İş adamı devlete olan borcunu yapılandırdı.,yapılandırdı,FİİL-VERB
Avukat tanığa bazı fotoğraflar gösterdi.,Avukat,AD-NOUN
Avukat tanığa bazı fotoğraflar gösterdi.,tanığa,AD-NOUN
Avukat tanığa bazı fotoğraflar gösterdi.,bazı,BELİRLEYİCİ-DET
Avukat tanığa bazı fotoğraflar gösterdi.,fotoğraflar,AD-NOUN
Avukat tanığa bazı fotoğraflar gösterdi.,gösterdi,FİİL-VERB
Yeni yönetici herkese eşit davranma sözü verdi.,Yeni,SIFAT-ADJECTIVE
Yeni yönetici herkese eşit davranma sözü verdi.,yönetici,AD-NOUN
Yeni yönetici herkese eşit davranma sözü verdi.,herkese,ADIL-PRONOUN
Yeni yönetici herkese eşit davranma sözü verdi.,eşit,SIFAT-ADJECTIVE
Yeni yönetici herkese eşit davranma sözü verdi.,davranma,AD-NOUN
Yeni yönetici herkese eşit davranma sözü verdi.,sözü,AD-NOUN
Yeni yönetici herkese eşit davranma sözü verdi.,verdi,FİİL-VERB
O ona olanları baştan sona anlattı.,O,ADIL-PRONOUN
O ona olanları baştan sona anlattı.,ona,ADIL-PRONOUN
O ona olanları baştan sona anlattı.,olanları,AD-NOUN
O ona olanları baştan sona anlattı.,baştan,BELİRTEÇ-ADVERB
O ona olanları baştan sona anlattı.,sona,BELİRTEÇ-ADVERB
O ona olanları baştan sona anlattı.,anlattı,FİİL-VERB
Öğretmen çocuğa alfabeyi ezberletti.,Öğretmen,AD-NOUN
Öğretmen çocuğa alfabeyi ezberletti.,çocuğa,AD-NOUN
Öğretmen çocuğa alfabeyi ezberletti.,alfabeyi,AD-NOUN
Öğretmen çocuğa alfabeyi ezberletti.,ezberletti,FİİL-VERB
O bana olan borcumu hatırlattı.,O,ADIL-PRONOUN
O bana olan borcumu hatırlattı.,bana,ADIL-PRONOUN
O bana olan borcumu hatırlattı.,olan,SIFAT-ADJECTIVE
O bana olan borcumu hatırlattı.,borcumu,AD-NOUN
O bana olan borcumu hatırlattı.,hatırlattı,FİİL-VERB
Psikolog hastaya umut verici sözler söyledi.,Psikolog,AD-NOUN
Psikolog hastaya umut verici sözler söyledi.,hastaya,AD-NOUN
Psikolog hastaya umut verici sözler söyledi.,umut,AD-NOUN
Psikolog hastaya umut verici sözler söyledi.,verici,SIFAT-ADJECTIVE
Psikolog hastaya umut verici sözler söyledi.,sözler,AD-NOUN
Psikolog hastaya umut verici sözler söyledi.,söyledi,FİİL-VERB
Üniversite bize final sınavının tarihini bildirdi.,Üniversite,AD-NOUN
Üniversite bize final sınavının tarihini bildirdi.,bize,ADIL-PRONOUN
Üniversite bize final sınavının tarihini bildirdi.,final,AD-NOUN
Üniversite bize final sınavının tarihini bildirdi.,sınavının,AD-NOUN
Üniversite bize final sınavının tarihini bildirdi.,tarihini,AD-NOUN
Üniversite bize final sınavının tarihini bildirdi.,bildirdi,FİİL-VERB
O ona nasıl yapılacağını gösterdi.,O,ADIL-PRONOUN
O ona nasıl yapılacağını gösterdi.,ona,ADIL-PRONOUN
O ona nasıl yapılacağını gösterdi.,nasıl,BELİRTEÇ-ADVERB
O ona nasıl yapılacağını gösterdi.,yapılacağını,FİİL-VERB
O ona nasıl yapılacağını gösterdi.,gösterdi,FİİL-VERB
Sanatçı tüm dünyaya barış mesajı yolladı.,Sanatçı,AD-NOUN
Sanatçı tüm dünyaya barış mesajı yolladı.,tüm,BELİRLEYİCİ-DET
Sanatçı tüm dünyaya barış mesajı yolladı.,dünyaya,AD-NOUN
Sanatçı tüm dünyaya barış mesajı yolladı.,barış,AD-NOUN
Sanatçı tüm dünyaya barış mesajı yolladı.,mesajı,AD-NOUN
Sanatçı tüm dünyaya barış mesajı yolladı.,yolladı,FİİL-VERB
O ona geleceğe dair planlarını anlattı.,O,ADIL-PRONOUN
O ona geleceğe dair planlarını anlattı.,ona,ADIL-PRONOUN
O ona geleceğe dair planlarını anlattı.,geleceğe,AD-NOUN
O ona geleceğe dair planlarını anlattı.,dair,İLGEÇ-PREPOS
O ona geleceğe dair planlarını anlattı.,planlarını,AD-NOUN
O ona geleceğe dair planlarını anlattı.,anlattı,FİİL-VERB
O bize olanları özet geçti.,O,ADIL-PRONOUN
O bize olanları özet geçti.,bize,ADIL-PRONOUN
O bize olanları özet geçti.,olanları,AD-NOUN
O bize olanları özet geçti.,özet,AD-NOUN
O bize olanları özet geçti.,geçti,FİİL-VERB
Bu kampanya çocuğa okuma alışkanlığı kazandırdı.,Bu,BELİRLEYİCİ-DET
Bu kampanya çocuğa okuma alışkanlığı kazandırdı.,kampanya,AD-NOUN
Bu kampanya çocuğa okuma alışkanlığı kazandırdı.,çocuğa,AD-NOUN
Bu kampanya çocuğa okuma alışkanlığı kazandırdı.,okuma,AD-NOUN
Bu kampanya çocuğa okuma alışkanlığı kazandırdı.,alışkanlığı,AD-NOUN
Bu kampanya çocuğa okuma alışkanlığı kazandırdı.,kazandırdı,FİİL-VERB
Antrenör takımına moral aşıladı.,Antrenör,AD-NOUN
Antrenör takımına moral aşıladı.,takımına,AD-NOUN
Antrenör takımına moral aşıladı.,moral,AD-NOUN
Antrenör takımına moral aşıladı.,aşıladı,FİİL-VERB
Muhtar bize köyün en güzel yerini gösterdi.,Muhtar,AD-NOUN
Muhtar bize köyün en güzel yerini gösterdi.,bize,ADIL-PRONOUN
Muhtar bize köyün en güzel yerini gösterdi.,köyün,AD-NOUN
Muhtar bize köyün en güzel yerini gösterdi.,en,BELİRTEÇ-ADVERB
Muhtar bize köyün en güzel yerini gösterdi.,güzel,SIFAT-ADJECTIVE
Muhtar bize köyün en güzel yerini gösterdi.,yerini,AD-NOUN
Muhtar bize köyün en güzel yerini gösterdi.,gösterdi,FİİL-VERB
O ona olan güvenini belirtti.,O,ADIL-PRONOUN
O ona olan güvenini belirtti.,ona,ADIL-PRONOUN
O ona olan güvenini belirtti.,olan,SIFAT-ADJECTIVE
O ona olan güvenini belirtti.,güvenini,AD-NOUN
O ona olan güvenini belirtti.,belirtti,FİİL-VERB
Yargıtay mahkumun cezasını onadı.,Yargıtay,AD-NOUN
Yargıtay mahkumun cezasını onadı.,mahkumun,AD-NOUN
Yargıtay mahkumun cezasını onadı.,cezasını,AD-NOUN
Yargıtay mahkumun cezasını onadı.,onadı,FİİL-VERB
Bu bilgi bana geleceğin anahtarını sundu.,Bu,BELİRLEYİCİ-DET
Bu bilgi bana geleceğin anahtarını sundu.,bilgi,AD-NOUN
Bu bilgi bana geleceğin anahtarını sundu.,bana,ADIL-PRONOUN
Bu bilgi bana geleceğin anahtarını sundu.,geleceğin,AD-NOUN
Bu bilgi bana geleceğin anahtarını sundu.,anahtarını,AD-NOUN
Bu bilgi bana geleceğin anahtarını sundu.,sundu,FİİL-VERB
Kanun herkese aynı muameleyi yaptı.,Kanun,AD-NOUN
Kanun herkese aynı muameleyi yaptı.,herkese,ADIL-PRONOUN
Kanun herkese aynı muameleyi yaptı.,aynı,SIFAT-ADJECTIVE
Kanun herkese aynı muameleyi yaptı.,muameleyi,AD-NOUN
Kanun herkese aynı muameleyi yaptı.,yaptı,FİİL-VERB
Paramedik hastaya acil müdahale yaptı.,Paramedik,AD-NOUN
Paramedik hastaya acil müdahale yaptı.,hastaya,AD-NOUN
Paramedik hastaya acil müdahale yaptı.,acil,SIFAT-ADJECTIVE
Paramedik hastaya acil müdahale yaptı.,müdahale,AD-NOUN
Paramedik hastaya acil müdahale yaptı.,yaptı,FİİL-VERB
O herkese kendi yolunu çizmesini söyledi.,O,ADIL-PRONOUN
O herkese kendi yolunu çizmesini söyledi.,herkese,ADIL-PRONOUN
O herkese kendi yolunu çizmesini söyledi.,kendi,ADIL-PRONOUN
O herkese kendi yolunu çizmesini söyledi.,yolunu,AD-NOUN
O herkese kendi yolunu çizmesini söyledi.,çizmesini,FİİL-VERB
O herkese kendi yolunu çizmesini söyledi.,söyledi,FİİL-VERB
O ona olanları mektupla bildirdi.,O,ADIL-PRONOUN
O ona olanları mektupla bildirdi.,ona,ADIL-PRONOUN
O ona olanları mektupla bildirdi.,olanları,AD-NOUN
O ona olanları mektupla bildirdi.,mektupla,AD-NOUN
O ona olanları mektupla bildirdi.,bildirdi,FİİL-VERB
Onun davranışları yeni nesle kötü örnek oldu.,Onun,ADIL-PRONOUN
Onun davranışları yeni nesle kötü örnek oldu.,davranışları,AD-NOUN
Onun davranışları yeni nesle kötü örnek oldu.,yeni,SIFAT-ADJECTIVE
Onun davranışları yeni nesle kötü örnek oldu.,nesle,AD-NOUN
Onun davranışları yeni nesle kötü örnek oldu.,kötü,SIFAT-ADJECTIVE
Onun davranışları yeni nesle kötü örnek oldu.,örnek,AD-NOUN
Onun davranışları yeni nesle kötü örnek oldu.,oldu,FİİL-VERB
Bu hareketinden sonra ona olan saygısını yitirdi.,Bu,BELİRLEYİCİ-DET
Bu hareketinden sonra ona olan saygısını yitirdi.,hareketinden,AD-NOUN
Bu hareketinden sonra ona olan saygısını yitirdi.,sonra,İLGEÇ-PREPOS
Bu hareketinden sonra ona olan saygısını yitirdi.,ona,ADIL-PRONOUN
Bu hareketinden sonra ona olan saygısını yitirdi.,olan,SIFAT-ADJECTIVE
Bu hareketinden sonra ona olan saygısını yitirdi.,saygısını,AD-NOUN
Bu hareketinden sonra ona olan saygısını yitirdi.,yitirdi,FİİL-VERB
Film bize hayatın anlamını sorgulattı.,Film,AD-NOUN
Film bize hayatın anlamını sorgulattı.,bize,ADIL-PRONOUN
Film bize hayatın anlamını sorgulattı.,hayatın,AD-NOUN
Film bize hayatın anlamını sorgulattı.,anlamını,AD-NOUN
Film bize hayatın anlamını sorgulattı.,sorgulattı,FİİL-VERB
Başarılı proje yatırımcılara güven aşıladı.,Başarılı,SIFAT-ADJECTIVE
Başarılı proje yatırımcılara güven aşıladı.,proje,AD-NOUN
Başarılı proje yatırımcılara güven aşıladı.,yatırımcılara,AD-NOUN
Başarılı proje yatırımcılara güven aşıladı.,güven,AD-NOUN
Başarılı proje yatırımcılara güven aşıladı.,aşıladı,FİİL-VERB
Mimar bize evin krokisini çizdi.,Mimar,AD-NOUN
Mimar bize evin krokisini çizdi.,bize,ADIL-PRONOUN
Mimar bize evin krokisini çizdi.,evin,AD-NOUN
Mimar bize evin krokisini çizdi.,krokisini,AD-NOUN
Mimar bize evin krokisini çizdi.,çizdi,FİİL-VERB
Hayat herkese kendi kaderini yaşattı.,Hayat,AD-NOUN
Hayat herkese kendi kaderini yaşattı.,herkese,ADIL-PRONOUN
Hayat herkese kendi kaderini yaşattı.,kendi,ADIL-PRONOUN
Hayat herkese kendi kaderini yaşattı.,kaderini,AD-NOUN
Hayat herkese kendi kaderini yaşattı.,yaşattı,FİİL-VERB
O ona yaptığı iyiliğin karşılığını beklemedi.,O,ADIL-PRONOUN
O ona yaptığı iyiliğin karşılığını beklemedi.,ona,ADIL-PRONOUN
O ona yaptığı iyiliğin karşılığını beklemedi.,yaptığı,SIFAT-ADJECTIVE
O ona yaptığı iyiliğin karşılığını beklemedi.,iyiliğin,AD-NOUN
O ona yaptığı iyiliğin karşılığını beklemedi.,karşılığını,AD-NOUN
O ona yaptığı iyiliğin karşılığını beklemedi.,beklemedi,FİİL-VERB
Baba çocuğa masal kitabı okudu.,Baba,AD-NOUN
Baba çocuğa masal kitabı okudu.,çocuğa,AD-NOUN
Baba çocuğa masal kitabı okudu.,masal,AD-NOUN
Baba çocuğa masal kitabı okudu.,kitabı,AD-NOUN
Baba çocuğa masal kitabı okudu.,okudu,FİİL-VERB
Arkadaşı ona zor zamanında destek oldu.,Arkadaşı,AD-NOUN
Arkadaşı ona zor zamanında destek oldu.,ona,ADIL-PRONOUN
Arkadaşı ona zor zamanında destek oldu.,zor,SIFAT-ADJECTIVE
Arkadaşı ona zor zamanında destek oldu.,zamanında,AD-NOUN
Arkadaşı ona zor zamanında destek oldu.,destek,AD-NOUN
Arkadaşı ona zor zamanında destek oldu.,oldu,FİİL-VERB
Yaşlı adam bize geçmişini anlattı.,Yaşlı,SIFAT-ADJECTIVE
Yaşlı adam bize geçmişini anlattı.,adam,AD-NOUN
Yaşlı adam bize geçmişini anlattı.,bize,ADIL-PRONOUN
Yaşlı adam bize geçmişini anlattı.,geçmişini,AD-NOUN
Yaşlı adam bize geçmişini anlattı.,anlattı,FİİL-VERB
Komedyen seyirciye keyif dolu dakikalar sundu.,Komedyen,AD-NOUN
Komedyen seyirciye keyif dolu dakikalar sundu.,seyirciye,AD-NOUN
Komedyen seyirciye keyif dolu dakikalar sundu.,keyif,AD-NOUN
Komedyen seyirciye keyif dolu dakikalar sundu.,dolu,SIFAT-ADJECTIVE
Komedyen seyirciye keyif dolu dakikalar sundu.,dakikalar,AD-NOUN
Komedyen seyirciye keyif dolu dakikalar sundu.,sundu,FİİL-VERB
Şampiyon bize başarısının sırrını açıkladı.,Şampiyon,AD-NOUN
Şampiyon bize başarısının sırrını açıkladı.,bize,ADIL-PRONOUN
Şampiyon bize başarısının sırrını açıkladı.,başarısının,AD-NOUN
Şampiyon bize başarısının sırrını açıkladı.,sırrını,AD-NOUN
Şampiyon bize başarısının sırrını açıkladı.,açıkladı,FİİL-VERB
Kazanan herkese teşekkürlerini iletti.,Kazanan,AD-NOUN
Kazanan herkese teşekkürlerini iletti.,herkese,ADIL-PRONOUN
Kazanan herkese teşekkürlerini iletti.,teşekkürlerini,AD-NOUN
Kazanan herkese teşekkürlerini iletti.,iletti,FİİL-VERB
Usta ona işin doğrusunu gösterdi.,Usta,AD-NOUN
Usta ona işin doğrusunu gösterdi.,ona,ADIL-PRONOUN
Usta ona işin doğrusunu gösterdi.,işin,AD-NOUN
Usta ona işin doğrusunu gösterdi.,doğrusunu,AD-NOUN
Usta ona işin doğrusunu gösterdi.,gösterdi,FİİL-VERB
Ay ışığı bize karanlıkta yol gösterdi.,Ay,AD-NOUN
Ay ışığı bize karanlıkta yol gösterdi.,ışığı,AD-NOUN
Ay ışığı bize karanlıkta yol gösterdi.,bize,ADIL-PRONOUN
Ay ışığı bize karanlıkta yol gösterdi.,karanlıkta,AD-NOUN
Ay ışığı bize karanlıkta yol gösterdi.,yol,AD-NOUN
Ay ışığı bize karanlıkta yol gösterdi.,gösterdi,FİİL-VERB
dün gece filmi izledi,dün,BELİRTEÇ-ADVERB
dün gece filmi izledi,gece,AD-NOUN
dün gece filmi izledi,filmi,AD-NOUN
dün gece filmi izledi,izledi,FİİL-VERB
yemeği iştahla yedi,yemeği,AD-NOUN
yemeği iştahla yedi,iştahla,AD-NOUN
yemeği iştahla yedi,yedi,FİİL-VERB
mektubu hemen yazdı,mektubu,AD-NOUN
mektubu hemen yazdı,hemen,BELİRTEÇ-ADVERB
mektubu hemen yazdı,yazdı,FİİL-VERB
arabayı geçen hafta sattı,arabayı,AD-NOUN
arabayı geçen hafta sattı,geçen,SIFAT-ADJECTIVE
arabayı geçen hafta sattı,hafta,AD-NOUN
arabayı geçen hafta sattı,sattı,FİİL-VERB
ona hediyesini dün verdi,ona,ADIL-PRONOUN
ona hediyesini dün verdi,hediyesini,AD-NOUN
ona hediyesini dün verdi,dün,BELİRTEÇ-ADVERB
ona hediyesini dün verdi,verdi,FİİL-VERB
çocuklara masalı yavaşça anlattı,çocuklara,AD-NOUN
çocuklara masalı yavaşça anlattı,masalı,AD-NOUN
çocuklara masalı yavaşça anlattı,yavaşça,BELİRTEÇ-ADVERB
çocuklara masalı yavaşça anlattı,anlattı,FİİL-VERB
her sabah parka gider,her,BELİRLEYİCİ-DET
her sabah parka gider,sabah,AD-NOUN
her sabah parka gider,parka,AD-NOUN
her sabah parka gider,gider,FİİL-VERB
sınavdan dün yüksek not aldı,sınavdan,AD-NOUN
sınavdan dün yüksek not aldı,dün,BELİRTEÇ-ADVERB
sınavdan dün yüksek not aldı,yüksek,SIFAT-ADJECTIVE
sınavdan dün yüksek not aldı,not,AD-NOUN
sınavdan dün yüksek not aldı,aldı,FİİL-VERB
bu evde yıllarca tek başına yaşadı,bu,BELİRLEYİCİ-DET
bu evde yıllarca tek başına yaşadı,evde,AD-NOUN
bu evde yıllarca tek başına yaşadı,yıllarca,AD-NOUN
bu evde yıllarca tek başına yaşadı,tek,SIFAT-ADJECTIVE
bu evde yıllarca tek başına yaşadı,başına,AD-NOUN
bu evde yıllarca tek başına yaşadı,yaşadı,FİİL-VERB
sorunu kimseye fark ettirmeden çözdü,sorunu,AD-NOUN
sorunu kimseye fark ettirmeden çözdü,kimseye,ADIL-PRONOUN
sorunu kimseye fark ettirmeden çözdü,fark,AD-NOUN
sorunu kimseye fark ettirmeden çözdü,ettirmeden,FİİL-VERB
sorunu kimseye fark ettirmeden çözdü,çözdü,FİİL-VERB
yeni projeyi toplantıda heyecanla sundu,yeni,SIFAT-ADJECTIVE
yeni projeyi toplantıda heyecanla sundu,projeyi,AD-NOUN
yeni projeyi toplantıda heyecanla sundu,toplantıda,AD-NOUN
yeni projeyi toplantıda heyecanla sundu,heyecanla,AD-NOUN
yeni projeyi toplantıda heyecanla sundu,sundu,FİİL-VERB
bize bu sırrı asla açıklamadı,bize,ADIL-PRONOUN
bize bu sırrı asla açıklamadı,bu,BELİRLEYİCİ-DET
bize bu sırrı asla açıklamadı,sırrı,AD-NOUN
bize bu sırrı asla açıklamadı,asla,BELİRTEÇ-ADVERB
bize bu sırrı asla açıklamadı,açıklamadı,FİİL-VERB
her bayram köyüne mutlaka gider,her,BELİRLEYİCİ-DET
her bayram köyüne mutlaka gider,bayram,AD-NOUN
her bayram köyüne mutlaka gider,köyüne,AD-NOUN
her bayram köyüne mutlaka gider,mutlaka,BELİRTEÇ-ADVERB
her bayram köyüne mutlaka gider,gider,FİİL-VERB
kapıyı sinirle duvara çarptı,kapıyı,AD-NOUN
kapıyı sinirle duvara çarptı,sinirle,AD-NOUN
kapıyı sinirle duvara çarptı,duvara,AD-NOUN
kapıyı sinirle duvara çarptı,çarptı,FİİL-VERB
ödevini okulda hızlıca bitirdi,ödevini,AD-NOUN
ödevini okulda hızlıca bitirdi,okulda,AD-NOUN
